Row_ID,CompanyName,ESG Rating,Score,Country,Sector,Industrygroup,Industry,Language,Year,F-01_value,F-01_value_keyword,F-01_unit,F-01_unit_keyword,F-02_value,F-02_value_keyword,F-02_unit,F-02_unit_keyword,E-01_value,E-01_value_keyword,E-01_unit,E-01_unit_keyword,E-02_value,E-02_value_keyword,E-02_unit,E-02_unit_keyword,E-03_value,E-03_value_keyword,E-03_unit,E-03_unit_keyword,E-04_value,E-04_value_keyword,E-04_unit,E-04_unit_keyword,E-05_value,E-05_value_keyword,E-05_unit,E-05_unit_keyword,E-06_value,E-06_value_keyword,E-06_unit,E-06_unit_keyword,E-07_value,E-07_value_keyword,E-07_unit,E-07_unit_keyword,S-01_value,S-01_value_keyword,S-01_unit,S-01_unit_keyword,S-02_value,S-02_value_keyword,S-02_unit,S-02_unit_keyword,S-03_value,S-03_value_keyword,S-03_unit,S-03_unit_keyword,S-04_value,S-04_value_keyword,S-04_unit,S-04_unit_keyword,S-05_value,S-05_value_keyword,S-05_unit,S-05_unit_keyword,S-06_value,S-06_value_keyword,S-06_unit,S-06_unit_keyword,S-07_value,S-07_value_keyword,S-07_unit,S-07_unit_keyword,S-08_value,S-08_value_keyword,S-08_unit,S-08_unit_keyword,S-09_value,S-09_value_keyword,S-09_unit,S-09_unit_keyword,G-01_value,G-01_value_keyword,G-01_unit,G-01_unit_keyword,G-02_value,G-02_value_keyword,G-02_unit,G-02_unit_keyword,G-03_value,G-03_value_keyword,G-03_unit,G-03_unit_keyword,G-04_value,G-04_value_keyword,G-04_unit,G-04_unit_keyword,G-05_value,G-05_value_keyword,G-05_unit,G-05_unit_keyword,G-06_value,G-06_value_keyword,G-06_unit,G-06_unit_keyword,G-07_value,G-07_value_keyword,G-07_unit,G-07_unit_keyword,G-08_value,G-08_value_keyword,G-08_unit,G-08_unit_keyword,,Sentiment_Score,share_price,income,WACC,volatility,liquidity_ratio,beta_coefficient,GDP_growth,unemployment_rate
1,Lenovo,A,,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,50716,,Millions USD,,1,,,,7766,,metric tons CO2 equivalent ? MT CO2e,,23852,,metric tons CO2 equivalent ? MT CO2e,,17531179,,metric tons CO2 equivalent ? MT CO2e,,272150,, MWh,,124000,,cubic meters,,62229.6,,Metric Tons,,4226,,MWh,,12.028,,,,63000,,,,36,,%,,90.626,,,,35,,,,0,,,,82,,,,14482776,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.839506173,164.17,8.04,8.47,22,1.27,0.8,2.2,5.2
2,Lenovo,AA,,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,60742,,Millions USD,,1,,,,7269,,metric tons CO2 equivalent ? MT CO2e,,21519,,metric tons CO2 equivalent ? MT CO2e,,19976020,,metric tons CO2 equivalent ? MT CO2e,,292751,, MWh,,134000,,cubic meters,,51685,,Metric Tons,,9065,,MWh,,6.908,,,,71500,,,,36,,%,,99,,,,52,,,,0,,,,143,,,,11831274,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.839506173,234.21,13.1,8.09,25,1.3,0.95,8.4,5.1
3,Lenovo,AA,,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,71618,,Millions USD,,1,,,,6069,,metric tons CO2 equivalent ? MT CO2e,,21160,,metric tons CO2 equivalent ? MT CO2e,,12324408,,metric tons CO2 equivalent ? MT CO2e,,323663,, MWh,,98000,,cubic meters,,49528,,Metric Tons,,9360,,MWh,,10.752,,,,75000,,,,37,,%,,90.626,,,,35,,,,0,,,,384,,,,20867596,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.839506173,108.34,21.4,7.43,18,1.35,0.75,3.1,5.6
4,Lenovo,AAA,,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,61947,,Millions USD,,1,,,,6303,,metric tons CO2 equivalent ? MT CO2e,,19540,,metric tons CO2 equivalent ? MT CO2e,,18741480,,metric tons CO2 equivalent ? MT CO2e,,349118,, MWh,,18000,,cubic meters,,51099,,Metric Tons,,13333,,MWh,,10.752,,,,77000,,,,37,,%,,99,,,,45,,,,0,,,,324,,,,28340914,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.839506173,159.32,16.8,8.21,15,1.4,0.7,5.2,5.2
5,HP,AA,,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,57000,,Millions USD,,1,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,120400,,metric tons CO2 equivalent ? MT CO2e,,29482000,,metric tons CO2 equivalent ? MT CO2e,,482119,, MWh,,18500000,,cubic meters,,148000,,Metric Tons,,1525,,MWh,,5.1,,%,,53000,,,,35.8,,%,,99.1,,%,,32,,,,55,,,,1167,,,,35000000,,USD,,22,,,,36,,,,0,,,,28,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.746067416,20.9,26.6,9.33,28,1.61,0.87,-2.2,8.1
6,HP,AA,,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,64000,,Millions USD,,1,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,110800,,metric tons CO2 equivalent ? MT CO2e,,29905000,,metric tons CO2 equivalent ? MT CO2e,,492712,, MWh,,20200000,,cubic meters,,12900,,Metric Tons,,1440,,MWh,,6.1,,%,,51135,,,,37.3,,%,,99.2,,%,,34,,,,71,,,,1234,,,,29000000,,USD,,37,,,,36,,,,0,,,,33,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.746067416,28.3,65.4,9.72,28,1.79,0.96,5.9,5.4
7,HP,AA,,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2022,63000,,Millions USD,,1,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,104700,,metric tons CO2 equivalent ? MT CO2e,,26748000,,metric tons CO2 equivalent ? MT CO2e,,492647,, MWh,,19600000,,cubic meters,,117000,,Metric Tons,,1376,,MWh,,7.4,,%,,58000,,,,37.3,,%,,99,,%,,36,,,,71,,,,1562,,,,71000000,,USD,,16,,,,36,,,,0,,,,20,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.746067416,34.8,31.32,9.43,22,1.74,1.08,2.5,3.6
8,HP,AA,,USA,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2023,53700,,Millions USD,,1,,,,281212,,metric tons CO2 equivalent ? MT CO2e,,94300,,metric tons CO2 equivalent ? MT CO2e,,19618000,,metric tons CO2 equivalent ? MT CO2e,,501255,Electricity (purchased), MWh,,17500000,,cubic meters,,160000,,Metric Tons,,2679,,MWh,,8.5,,%,,58000,,,,44.6,,%,%,99.3,,%,,36,,,,61,,,,35,,,,46690000,Social investment,USD,US$ million,7,,,,36,,,,0,,,,23,,,,1,GRI index,,,1,External assurance,,,1,Statement on sustainable development strategy,,,,,,,1,Material Topics,,,,0.746067416,33.4,32.63,9.47,25,1.59,1.82,2.9,4.1
9,Pegatron,BB,,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2020,1399300,,Million NTD,,0.0338,,,,32595.1,,metric tons CO2 equivalent ? MT CO2e,,566483,,metric tons CO2 equivalent ? MT CO2e,,3391492.6,,metric tons CO2 equivalent ? MT CO2e,,555556,, MWh,,5592151,,cubic meters,,66351,,Metric Tons,,8863,,MWh,,21.226,,,,132157,,,,47.96,,,,100,,%,,40.302,,,,0,,,,279.4,,,,51204188,,USD,,0,,,,36,,,,6.6,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.643678161,3.64,7.3,8.12,28,1.71,1.36,2.2,5.2
10,Pegatron,BB,,China,Information Technology,Technology Hardware & Equipment,"Technology hardware, storage & peripherals industry",EN,2021,1263700,,Million NTD,,0.0356,,,,33442.43,,metric tons CO2 equivalent ? MT CO2e,,480917,,metric tons CO2 equivalent ? MT CO2e,,7090000,,metric tons CO2 equivalent ? MT CO2e,,742071,, MWh,,5234887,,cubic meters,,70264,,Metric Tons,,9117,,MWh,,17.052,,,,161836,,,,44.38,,,,100,,%,,43.482,,,,0,,,,351.4,,,,48218948,,USD,,0,,,,36,,,,6.6,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.643678161,4.24,7.5,8.23,25,1.81,1.39,8.4,5.1
