No.,Keywords,,,,,,,,,,,,,,,,,,,,,,
Year,年份,年,year,Year,财年,FY,,,,,,,,,,,,,,,,,
F-01,Billion USD,Dollars (in millions),billion,€ millions,亿美元,百万美元,million RMB,¥  billion,元,cr,NT$ billion,亿元,MUSD,GBP￡m,RMB,亿日,億元美金,₹ in millions,十亿美元,millions USD,百萬元,dollars in billions,billions of yen
F-02,,,,,,,,,,,,,,,,,,,,,,,
E-01,"tons CO2e, by market base",metric ton-CO2 equivalent,Metric tons CO2e,噸二氧化碳當量,Thousand ton-CO2,公吨CO2e,千吨CO2,万吨二氧化碳当量,t-CO2e,Ton of CO2e,吨CO2 当量,million MTCO2e,吨二氧化碳当量,tCO2,metric tons CO2 equivalent – MT CO2e,公吨二氧化碳当量,metric tons CO2e,tCO2e,CO2e metric tons,,,,
E-02,"tons CO2e, by market base",million tCO2e,吨二氧化碳当量,公吨二氧化碳当量,metric tons CO2 equivalent – MT CO2e,万吨二氧化碳当量,t-CO2e,metric tons CO2e,tCO2e,公吨CO2e,Metric tons CO2e,,,,,,,,,,,,
E-03,Total GHG emissions by scope,"tons CO2e, by market base",tCO2e,tons of CO2 eq,吨二氧化碳当量,公吨二氧化碳当量,tons CO2e,公吨CO2e,Metric tons CO2e,,,,,,,,,,,,,,
E-04,千瓦时,kWh,GJ,TWh,Mwh,MWh,万千瓦时,千瓦時,兆瓦时,,,,,,,,,,,,,,
E-05,吨,Thousand cubic meters,cubic meters,万立方米,$ Mn,tonnes,Tonne (s),m3,million m3,,,,,,,,,,,,,,
E-06,(metric tons),metric tons,公吨,(公吨,$ Mn,tCO2e,,,,,,,,,,,,,,,,,
E-07,MwH,千瓦时,kWh,万度,MWh,兆瓦时,,,,,,,,,,,,,,,,,
S-01,百分比,%,Percentage,,,,,,,,,,,,,,,,,,,,
S-02,人,Person,,,,,,,,,,,,,,,,,,,,,
S-03,百分比,%,Percentage,,,,,,,,,,,,,,,,,,,,
S-04,百分比,%,Percentage,,,,,,,,,,,,,,,,,,,,
S-05,Hour/person,小时,Hour (s),小時 / 人,,,,,,,,,,,,,,,,,,,
S-06,人,Person,No. of people,,,,,,,,,,,,,,,,,,,,
S-07,天,Day (s) 2,Day(s),,,,,,,,,,,,,,,,,,,,
S-08,dollars,万元人民币,million,元人民幣,RMB0'000,RMB,US$ million,美元,,,,,,,,,,,,,,,
S-09,,,,,,,,,,,,,,,,,,,,,,,
G-01,%,,,,,,,,,,,,,,,,,,,,,,
G-02,数,件,Number,,,,,,,,,,,,,,,,,,,,
G-03,数,件,Number,,,,,,,,,,,,,,,,,,,,
G-04,,,,,,,,,,,,,,,,,,,,,,,
G-05,,,,,,,,,,,,,,,,,,,,,,,
G-06,,,,,,,,,,,,,,,,,,,,,,,
G-07,次,Number,,,,,,,,,,,,,,,,,,,,,
G-08,,,,,,,,,,,,,,,,,,,,,,,
