Company,Sentiment_Score
ZHEN DING,0.8545454545454545
Lenovo,0.8395061728395061
MediaTek,0.8233766233766234
Ericsson,0.8195652173913043
NETAPP,0.8185185185185185
Yokogawa,0.8150943396226416
KYOCERA,0.808695652173913
Omron,0.803225806451613
GigaDevice,0.8
LamResearch,0.8
ASUS,0.7975609756097561
SEIKO EPSON,0.7961538461538462
Infineon,0.7945205479452054
Compal Electronics,0.7846153846153846
Acer,0.7787878787878788
E INK,0.7666666666666667
Anker Innovations,0.7642857142857143
Murata,0.7634146341463415
SEAGATE,0.7614457831325301
Yonyou Network Technology,0.7571428571428571
HCLTech,0.7565217391304347
Nokia,0.75
YAGEO,0.75
HUAWEI,0.7482352941176471
MOTOROLA,0.747945205479452
HP,0.7460674157303371
ServiceNow,0.7428571428571429
Kingdee International Software Group,0.7379310344827587
Accton,0.7375
Salesforce,0.7333333333333333
Amphenol,0.7317073170731707
Amphenol (1),0.7317073170731707
TCL,0.7307692307692307
Shennan Circuits,0.7272727272727273
ZTE,0.7272727272727273
Dassault,0.7246753246753247
Oracle,0.7222222222222222
Canon,0.7222222222222222
Trimble,0.7220779220779221
Capgemini,0.7172413793103448
Supermicro,0.7115384615384615
MCHP,0.711111111111111
SAP,0.7105882352941176
Foxconn,0.7085714285714285
Western Digital,0.7
Adobe,0.7
Xiaomi,0.6983606557377049
Dell,0.6978260869565218
TEC,0.6895522388059702
AUO,0.688
Innolux,0.6875
Temenos AG,0.6833333333333333
Workday,0.6666666666666667
IBM,0.6657894736842105
Infosys,0.6653846153846155
BAIDU,0.6651162790697674
NVIDIA,0.6625
Cadence Design Systems,0.6590909090909091
MICRON,0.6588235294117647
BROADCOM,0.6571428571428571
BE Semiconductor Industries,0.6538461538461539
Autodesk,0.6509803921568628
UNIMICRON,0.65
Tokyo Electron,0.6488372093023256
UNITED MICROELECTRONICS,0.6476190476190476
TEXAS INSTRUMENTS,0.6472222222222223
Pegatron,0.6436781609195402
Wipro,0.6433333333333333
SUNNY OPTICAL,0.6428571428571429
USI,0.6423076923076924
TDK,0.6422535211267606
Microsoft,0.638961038961039
Corning,0.6361111111111111
Atlassian,0.6327868852459017
Cisco,0.6303797468354431
AMD,0.6297297297297297
LGD,0.6242424242424243
Jabil,0.6232558139534884
NXP Semiconductors,0.6225806451612903
Sage,0.6133333333333334
Meta,0.5956989247311828
Samsung,0.5925
ASML,0.5918367346938775
Cognizant,0.5701492537313433
SKYWORKS SOLUTIONS,0.5590909090909091
SMIC,0.5531914893617021
Delta,0.5515789473684211
Wistron,0.5181818181818182
Intel,0.5155555555555555
BOE,0.5078947368421052
Novatek,0.4871794871794871
BROTHER,0.42947368421052634
BROTHER (1),0.42947368421052634
Tencent,0.4053333333333334
DSBJ,0.4
